"Longitude","Latitude","Place.names"
"level 4","level 2","Kadhimiya kindergarten"
"level 4","level 2","the aquatic city"
"level 4","level 2","Mosque and shrine of Imam Abu Hanifa Noman"
"level 4","level 2","Bartha Mosque"
"level 4","level 2","Mosque and shrine of Sheikh Abdul Qadir Kilani"
"level 4","level 2","Mosque of the Caliphs"
"level 4","level 2","Al Zawra Park"
"level 4","level 2","Al Mustansiriya School"
"level 4","level 2","The Abbasid palace"
"level 4","level 2","Al Qashla Building"
"level 4","level 2","The Baghdadi Museum"
"level 4","level 2","Natural History Museum"
"level 4","level 2","The Island of Baghdad"
"level 4","level 2","amusement park  of Sinbad"
"level 4","level 2","Wall of Baghdad"
"level 4","level 2","Aqraqof"
"level 4","level 2","Al Shaab International Stadium"
"level 4","level 2","Iraqi National Theater"
"level 4","level 2","Abu Nawas Park"
"level 4","level 2","Cornish of Adhamiya"
"level 4","level 2","Hill of Hermel"
"level 4","level 2","Al-Mada'in"
"level 4","level 2","Baghdad Mall"
"level 4","level 2","Al Mansour Mall"
"level 4","level 2","Nakheel Mall"
"level 4","level 2","Zayouna Mall"
"level 4","level 2","The Monument to the Unknown Soldier"
"level 4","level 2","Victory Arch"
"level 4","level 2","Al-Shaheed Monument"
"level 4","level 2","Monument to Liberation Square"
"level 4","level 2","The Iraqi Museum"
"level 4","level 2","Baghdad Clock"
"level 4","level 2","Al_Rasheed Street"
"level 4","level 2","Weddings tourist island"
"level 4","level 2","Lake of  Al-Jadriya"
"level 4","level 2","Al_Mutanabi Street"
"level 3","level 4","The tomb of the prophet Younis"
"level 3","level 4","The Shrine of Prophet Shit"
"level 3","level 4","Lake of Mosul Dam"
"level 3","level 4","Tel Qwengq"
"level 3","level 4","Hill of AL-ramah"
"level 3","level 4","Wall of Mosul"
"level 3","level 4","Castle of Bashtabia"
"level 3","level 4","Church of Saint Thomas"
"level 3","level 4","Monastery of Saint Corcis"
"level 3","level 4","Mosque of Nouri"
"level 3","level 4","Great Mosque"
"level 3","level 4","amawy-mosque"
"level 3","level 4","Mosque of Egwat"
"level 3","level 4","Mosque of the Prophet  Georgsmoschee"
"level 3","level 4","Al Najafi Street"
"level 3","level 4","Hamam al-Alil"
"level 3","level 4","Mosul Museum"
"level 3","level 4","University of Mosul Stadium"
"level 3","level 4","New Gate Park"
"level 3","level 4","The forests of Mosul"
"level 3","level 4","Al-Amadiyah Castle"
"level 3","level 4","The Abbasid Bridge"
"level 3","level 4","Great Duhok Mosque."
"level 3","level 4","The Great Mosque in Aqra"
"level 3","level 4","Resort of Zawita"
"level 3","level 4","Shranche waterfall"
"level 3","level 4","Resort  of Sarsink"
"level 3","level 4","Resort of Ashawa"
